time,distance,gaze
0.863623,14.21287,0
0.87558,14.21243,0
0.877854,14.21243,0
0.880021,14.21243,0
0.882451,14.21243,0
0.884231,14.21243,0
0.885951,14.21243,0
0.887698,14.21243,0
0.889524,14.21243,0
0.891303,14.21243,0
0.893029,14.21243,0
0.89479,14.21243,0
0.896837,14.21243,0
0.898764,14.21243,0
0.900594,14.21243,0
0.902603,14.21243,0
0.904413,14.21243,0
0.906315,14.21243,0
0.908272,14.21243,0
0.910135,14.21243,0
0.912014,14.21243,0
0.914186,14.21213,0
0.916233,14.21184,0
0.918007,14.21184,0
0.919838,14.21157,0
0.921587,14.2113,0
0.923619,14.21097,0
0.925372,14.21068,0
0.927341,14.21035,0
0.929398,14.20999,0
0.931449,14.20962,0
0.933523,14.20923,0
0.93534,14.20889,0
0.937165,14.20853,0
0.939004,14.20816,0
0.940836,14.20779,0
0.943142,14.20731,0
0.94522,14.20686,0
0.947372,14.20639,0
0.949315,14.20595,0
0.951226,14.20551,0
0.953028,14.20509,0
0.954921,14.20463,0
0.956827,14.20417,0
0.958762,14.20369,0
0.960543,14.20324,0
0.962895,14.20263,0
0.964988,14.20207,0
0.967812,14.20131,0
0.969708,14.20078,0
0.971563,14.20026,0
0.973446,14.19973,0
0.975268,14.1992,0
0.977097,14.19866,0
0.979363,14.19798,0
0.981639,14.19728,0
0.983737,14.19663,0
0.9857,14.19601,0
0.987602,14.19541,0
0.989425,14.19481,0
0.991231,14.19422,0
0.993144,14.19358,0
0.994918,14.19298,0
0.996866,14.19232,0
0.998944,14.1916,0
1.000856,14.19092,0
1.002925,14.19018,0
1.004758,14.18952,0
1.006726,14.1888,0
1.008704,14.18807,0
1.010654,14.18734,0
1.012709,14.18656,0
1.014876,14.18572,0
1.016947,14.18491,0
1.01877,14.18419,0
1.020629,14.18345,0
1.022735,14.1826,0
1.024646,14.18182,0
1.026492,14.18106,0
1.02831,14.18086,0
1.030308,14.18086,0
1.033627,14.18086,0
1.035504,14.18086,0
1.037354,14.18086,0
1.039176,14.18086,0
1.040956,14.18086,0
1.043,14.18086,0
1.044815,14.18086,0
1.047034,14.18086,0
1.049031,14.18086,0
1.05087,14.18086,0
1.052639,14.18086,0
1.054375,14.18086,0
1.056206,14.18086,0
1.058022,14.18086,0
1.059873,14.18086,0
1.061665,14.18086,0
1.063785,14.18086,0
1.065787,14.18086,0
1.067608,14.18086,0
1.069377,14.18086,0
1.072084,14.18086,0
1.074377,14.18086,0
1.076153,14.18086,0
1.077992,14.18086,0
1.07994,14.18086,0
1.081837,14.18086,0
1.08386,14.18086,0
1.085723,14.18086,0
1.087558,14.18086,0
1.08948,14.18086,0
1.091357,14.18086,0
1.093144,14.18086,0
1.094903,14.18086,0
1.096843,14.18086,0
1.098789,14.18086,0
1.100705,14.18086,0
1.102746,14.18086,0
1.104568,14.18086,0
1.106434,14.18086,0
1.108913,14.18086,0
1.110888,14.18086,0
1.112752,14.18086,0
1.114747,14.18086,0
1.116723,14.18086,0
1.118625,14.18086,0
1.120409,14.18086,0
1.122526,14.18086,0
1.124347,14.18086,0
1.126242,14.18086,0
1.128094,14.18086,0
1.130465,14.18086,0
1.132452,14.18086,0
1.134423,14.18086,0
1.136484,14.18086,0
1.138656,14.18086,0
1.14074,14.18086,0
1.143238,14.18086,0
1.145179,14.18086,0
